iter	Passed	Remaining
0	47	47103
1	47	23716
2	47	15899
3	48	11985
4	48	9622
5	48	8063
6	49	6969
7	49	6131
8	49	5475
9	50	4964
10	50	4540
11	50	4183
12	51	3880
13	51	3632
14	51	3409
15	52	3212
16	52	3045
17	53	2896
18	53	2757
19	53	2631
20	54	2520
21	54	2415
22	54	2320
23	54	2233
24	55	2153
25	55	2086
26	56	2018
27	56	1960
28	56	1901
29	57	1845
30	57	1792
31	57	1749
32	58	1703
33	58	1660
34	58	1623
35	59	1587
36	59	1548
37	59	1517
38	60	1483
39	60	1451
40	60	1421
41	61	1393
42	61	1365
43	61	1340
44	61	1315
45	62	1294
46	62	1271
47	63	1251
48	63	1236
49	64	1216
50	64	1195
51	64	1177
52	64	1159
53	65	1143
54	65	1128
55	65	1111
56	66	1095
57	66	1081
58	66	1066
59	67	1055
60	67	1043
61	68	1030
62	68	1020
63	68	1008
64	69	997
65	69	985
66	69	974
67	70	963
68	70	955
69	71	946
70	71	936
71	71	927
72	72	918
73	72	909
74	73	902
75	73	893
76	73	885
77	74	876
78	74	868
79	74	860
80	75	851
81	75	843
82	75	835
83	75	828
84	76	821
85	76	814
86	77	809
87	77	803
88	77	796
89	78	791
90	78	785
91	79	780
92	79	774
93	79	768
94	80	762
95	80	756
96	80	752
97	81	746
98	81	740
99	81	735
100	82	730
101	82	725
102	82	721
103	83	717
104	83	712
105	83	707
106	84	704
107	84	699
108	85	696
109	85	692
110	86	689
111	86	684
112	86	680
113	86	675
114	87	671
115	87	667
116	88	664
117	88	659
118	88	657
119	89	653
120	89	650
121	89	645
122	89	641
123	90	638
124	90	635
125	91	632
126	91	629
127	91	625
128	92	623
129	93	627
130	93	623
131	94	620
132	94	616
133	94	613
134	95	610
135	95	607
136	95	604
137	96	601
138	96	597
139	96	595
140	97	593
141	97	590
142	98	587
143	98	584
144	98	581
145	99	579
146	99	576
147	99	575
148	100	572
149	100	569
150	100	566
151	101	564
152	101	561
153	101	559
154	102	556
155	102	554
156	102	551
157	103	549
158	103	546
159	103	544
160	104	542
161	104	539
162	104	536
163	104	535
164	105	532
165	105	529
166	105	527
167	106	526
168	106	524
169	107	522
170	107	520
171	107	517
172	107	515
173	108	513
174	108	511
175	108	509
176	109	507
177	109	505
178	109	504
179	110	502
180	110	501
181	111	499
182	111	497
183	111	495
184	112	493
185	112	491
186	112	490
187	113	488
188	113	486
189	113	485
190	114	484
191	114	482
192	115	481
193	115	480
194	115	478
195	116	476
196	116	474
197	117	474
198	117	472
199	117	471
200	118	470
201	118	468
202	119	468
203	119	466
204	120	465
205	120	464
206	120	462
207	121	461
208	121	460
209	121	458
210	122	457
211	122	456
212	123	455
213	123	453
214	123	452
215	124	450
216	124	449
217	124	447
218	125	445
219	125	444
220	125	443
221	126	442
222	126	441
223	127	440
224	127	439
225	127	437
226	128	436
227	128	435
228	128	434
229	129	432
230	129	431
231	129	430
232	130	428
233	130	428
234	131	427
235	131	425
236	131	424
237	132	423
238	132	422
239	133	421
240	133	420
241	133	419
242	134	417
243	134	416
244	134	415
245	135	414
246	135	413
247	135	411
248	136	410
249	136	409
250	136	407
251	137	406
252	137	405
253	137	404
254	138	403
255	138	402
256	138	401
257	139	400
258	139	399
259	139	398
260	140	397
261	140	396
262	141	395
263	141	394
264	141	393
265	142	392
266	142	391
267	142	390
268	143	389
269	143	387
270	143	387
271	144	386
272	144	385
273	144	383
274	145	382
275	145	381
276	145	381
277	146	380
278	146	379
279	147	378
280	147	377
281	147	376
282	148	375
283	148	374
284	148	373
285	149	372
286	149	372
287	150	371
288	150	369
289	150	369
290	151	367
291	151	366
292	151	366
293	152	365
294	152	365
295	153	364
296	153	364
297	154	363
298	154	363
299	155	363
300	156	362
301	156	361
302	156	360
303	157	360
304	157	359
305	158	358
306	158	357
307	158	357
308	159	357
309	160	356
310	160	356
311	161	355
312	162	355
313	162	354
314	162	353
315	162	352
316	163	352
317	163	351
318	164	350
319	164	350
320	165	349
321	165	348
322	166	348
323	166	347
324	166	346
325	167	346
326	167	345
327	168	344
328	168	343
329	169	343
330	169	342
331	169	341
332	170	340
333	170	340
334	171	339
335	171	338
336	171	337
337	172	337
338	172	336
339	173	336
340	173	335
341	173	334
342	174	333
343	174	333
344	175	332
345	175	331
346	175	331
347	176	330
348	176	329
349	177	328
350	177	328
351	177	327
352	178	326
353	178	325
354	179	325
355	179	324
356	180	324
357	180	323
358	180	322
359	181	322
360	181	321
361	181	320
362	182	320
363	182	319
364	183	318
365	183	317
366	183	317
367	184	316
368	184	315
369	184	314
370	185	314
371	185	313
372	186	313
373	186	312
374	187	311
375	187	311
376	188	310
377	188	309
378	188	309
379	189	308
380	189	308
381	189	307
382	190	306
383	190	305
384	190	305
385	191	304
386	191	303
387	191	302
388	192	302
389	192	301
390	193	300
391	193	300
392	193	299
393	194	298
394	194	298
395	195	297
396	195	296
397	195	296
398	196	295
399	196	295
400	197	294
401	197	294
402	198	293
403	198	293
404	199	292
405	199	292
406	200	291
407	200	291
408	201	290
409	201	290
410	202	289
411	202	289
412	202	288
413	203	287
414	203	287
415	204	287
416	204	286
417	205	285
418	205	285
419	206	284
420	206	284
421	207	283
422	207	283
423	208	282
424	208	282
425	209	281
426	209	280
427	209	280
428	210	279
429	210	279
430	210	278
431	211	277
432	211	277
433	212	276
434	212	275
435	212	275
436	213	274
437	213	274
438	214	273
439	214	273
440	215	272
441	215	272
442	216	271
443	216	271
444	217	270
445	217	270
446	217	269
447	218	269
448	218	268
449	219	267
450	219	267
451	219	266
452	220	266
453	220	265
454	221	265
455	221	264
456	222	264
457	222	263
458	223	263
459	223	262
460	223	261
461	224	261
462	224	260
463	225	260
464	225	259
465	226	259
466	226	258
467	227	258
468	227	257
469	227	257
470	228	256
471	228	255
472	229	255
473	229	254
474	230	254
475	230	253
476	231	253
477	231	253
478	232	252
479	232	252
480	233	251
481	233	251
482	234	250
483	234	250
484	234	249
485	235	248
486	235	248
487	236	247
488	236	247
489	237	246
490	237	246
491	237	245
492	238	245
493	238	244
494	239	244
495	239	243
496	240	243
497	240	242
498	241	242
499	242	242
500	242	241
501	242	240
502	243	240
503	243	239
504	244	239
505	244	238
506	245	238
507	245	237
508	246	237
509	246	236
510	246	236
511	247	235
512	248	235
513	248	235
514	248	234
515	249	233
516	249	233
517	250	232
518	250	232
519	250	231
520	251	231
521	251	230
522	252	230
523	252	229
524	253	228
525	253	228
526	253	227
527	254	227
528	254	226
529	255	226
530	255	226
531	256	225
532	256	224
533	257	224
534	257	224
535	258	223
536	258	223
537	259	222
538	259	222
539	260	221
540	260	221
541	261	220
542	261	220
543	262	220
544	262	219
545	263	218
546	263	218
547	264	217
548	264	217
549	264	216
550	265	216
551	265	215
552	266	215
553	266	214
554	267	214
555	267	213
556	268	213
557	268	212
558	269	212
559	269	211
560	269	211
561	270	210
562	270	210
563	271	209
564	271	209
565	272	208
566	272	208
567	273	207
568	273	207
569	274	206
570	274	206
571	274	205
572	275	205
573	275	204
574	276	204
575	276	203
576	277	203
577	277	202
578	277	202
579	278	201
580	278	201
581	279	200
582	279	200
583	280	199
584	280	199
585	281	198
586	281	198
587	281	197
588	282	197
589	282	196
590	283	196
591	283	195
592	284	195
593	284	194
594	285	194
595	285	193
596	286	193
597	286	192
598	286	192
599	287	191
600	287	191
601	288	190
602	288	190
603	289	189
604	289	189
605	289	188
606	290	187
607	290	187
608	291	187
609	291	186
610	292	186
611	292	185
612	293	185
613	293	184
614	294	184
615	294	183
616	295	183
617	295	182
618	296	182
619	296	181
620	296	181
621	297	180
622	297	180
623	298	179
624	298	179
625	299	178
626	299	178
627	299	177
628	300	177
629	300	176
630	301	176
631	301	175
632	302	175
633	302	174
634	303	174
635	303	173
636	304	173
637	304	172
638	304	172
639	305	171
640	305	171
641	306	170
642	306	170
643	306	169
644	307	169
645	307	168
646	308	168
647	309	167
648	309	167
649	309	166
650	310	166
651	310	165
652	311	165
653	311	164
654	312	164
655	312	163
656	313	163
657	313	163
658	314	162
659	314	162
660	315	161
661	315	161
662	315	160
663	316	160
664	316	159
665	317	159
666	317	158
667	318	158
668	318	157
669	319	157
670	319	156
671	320	156
672	320	155
673	320	155
674	321	154
675	321	154
676	322	153
677	322	153
678	322	152
679	323	152
680	323	151
681	324	151
682	324	150
683	325	150
684	325	149
685	326	149
686	326	148
687	327	148
688	327	147
689	328	147
690	328	146
691	328	146
692	329	145
693	329	145
694	330	144
695	330	144
696	330	143
697	331	143
698	332	143
699	332	142
700	333	142
701	333	141
702	334	141
703	334	140
704	335	140
705	335	139
706	335	139
707	336	138
708	336	138
709	337	137
710	337	137
711	338	136
712	338	136
713	339	135
714	339	135
715	340	134
716	340	134
717	341	134
718	341	133
719	342	133
720	342	132
721	343	132
722	343	131
723	344	131
724	344	130
725	345	130
726	345	129
727	345	129
728	346	128
729	346	128
730	347	127
731	347	127
732	348	126
733	348	126
734	349	125
735	349	125
736	349	124
737	350	124
738	350	123
739	351	123
740	351	122
741	352	122
742	352	121
743	353	121
744	353	120
745	353	120
746	354	120
747	354	119
